year,Season,price,stateDescription,sectorName
2025,0,0.07905771841672737,Wyoming,all sectors
2025,1,0.05148590217846048,Wyoming,all sectors
2025,2,0.0509100333512551,Wyoming,all sectors
2025,3,0.05309619136177307,Wyoming,all sectors
2026,0,0.05390436314532927,Wyoming,all sectors
2026,1,0.05425057510868605,Wyoming,all sectors
2026,2,0.054097510534354375,Wyoming,all sectors
2026,3,0.05520992651934439,Wyoming,all sectors
2027,0,0.05609359971030023,Wyoming,all sectors
2027,1,0.05145242036904111,Wyoming,all sectors
2027,2,0.05593583796667527,Wyoming,all sectors
2027,3,0.05851143903373864,Wyoming,all sectors
2028,0,0.05774708283501381,Wyoming,all sectors
2028,1,0.056978903677626855,Wyoming,all sectors
2028,2,0.05747677218219222,Wyoming,all sectors
2028,3,0.05901195057959717,Wyoming,all sectors
2029,0,0.06016466416278428,Wyoming,all sectors
2029,1,0.060012522720728906,Wyoming,all sectors
2029,2,0.06020417464397675,Wyoming,all sectors
2029,3,0.06097169827657806,Wyoming,all sectors
2030,0,0.060512194234955956,Wyoming,all sectors
2030,1,0.06058839870716581,Wyoming,all sectors
2030,2,0.061355790197108455,Wyoming,all sectors
2030,3,0.06227743368179125,Wyoming,all sectors
2025,0,0.09285989477131142,Wyoming,commercial
2025,1,0.0615300427383007,Wyoming,commercial
2025,2,0.062498276719288356,Wyoming,commercial
2025,3,0.0638252686315992,Wyoming,commercial
2026,0,0.0662564036753363,Wyoming,commercial
2026,1,0.0653973509946483,Wyoming,commercial
2026,2,0.06637009250271173,Wyoming,commercial
2026,3,0.06767319640826895,Wyoming,commercial
2027,0,0.06803723386543366,Wyoming,commercial
2027,1,0.06295870959700373,Wyoming,commercial
2027,2,0.06702793481360962,Wyoming,commercial
2027,3,0.06908567046519336,Wyoming,commercial
2028,0,0.07003676584814517,Wyoming,commercial
2028,1,0.0674018787821665,Wyoming,commercial
2028,2,0.06963592948834896,Wyoming,commercial
2028,3,0.07109173633870305,Wyoming,commercial
2029,0,0.07222231962802846,Wyoming,commercial
2029,1,0.07100215584773704,Wyoming,commercial
2029,2,0.07184663661609396,Wyoming,commercial
2029,3,0.0729077290553811,Wyoming,commercial
2030,0,0.07352981365452478,Wyoming,commercial
2030,1,0.07230120319406677,Wyoming,commercial
2030,2,0.07348659025215544,Wyoming,commercial
2030,3,0.07380886748886593,Wyoming,commercial
2025,0,0.0646057074114386,Wyoming,industrial
2025,1,0.0401362703498123,Wyoming,industrial
2025,2,0.039587801497125194,Wyoming,industrial
2025,3,0.0406246506752025,Wyoming,industrial
2026,0,0.04115788940199905,Wyoming,industrial
2026,1,0.04144297840481438,Wyoming,industrial
2026,2,0.04118065007240569,Wyoming,industrial
2026,3,0.04132149817250714,Wyoming,industrial
2027,0,0.04266590779992627,Wyoming,industrial
2027,1,0.0400207010962826,Wyoming,industrial
2027,2,0.0432465075680728,Wyoming,industrial
2027,3,0.04408258673847624,Wyoming,industrial
2028,0,0.04426557651965214,Wyoming,industrial
